,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
0,337,118,4,4.5,4.5,3.8600000000000003,1,0.92
1,324,107,4,4.0,4.5,3.5479999999999996,1,0.76
2,316,104,3,3.0,3.5,3.2,1,0.72
3,322,110,3,3.5,2.5,3.468,1,0.8
4,314,103,2,2.0,3.0,3.2840000000000003,0,0.65
5,330,115,5,4.5,3.0,3.7359999999999998,1,0.9
6,321,109,3,3.0,4.0,3.28,1,0.75
7,308,101,2,3.0,4.0,3.16,0,0.68
8,302,102,1,2.0,1.5,3.2,0,0.5
9,323,108,3,3.5,3.0,3.44,0,0.45
10,325,106,3,3.5,4.0,3.3600000000000003,1,0.52
11,327,111,4,4.0,4.5,3.6,1,0.84
12,328,112,4,4.0,4.5,3.6399999999999997,1,0.78
13,307,109,3,4.0,3.0,3.2,1,0.62
14,311,104,3,3.5,2.0,3.28,1,0.61
15,314,105,3,3.5,2.5,3.3200000000000003,0,0.54
16,317,107,3,4.0,3.0,3.4799999999999995,0,0.66
17,319,106,3,4.0,3.0,3.2,1,0.65
18,318,110,3,4.0,3.0,3.5200000000000005,0,0.63
19,303,102,3,3.5,3.0,3.4,0,0.62
20,312,107,3,3.0,2.0,3.16,1,0.64
21,325,114,4,3.0,2.0,3.3600000000000003,0,0.7
22,328,116,5,5.0,5.0,3.8,1,0.94
23,334,119,5,5.0,4.5,3.88,1,0.95
24,336,119,5,4.0,3.5,3.9200000000000004,1,0.97
25,340,120,5,4.5,4.5,3.84,1,0.94
26,322,109,5,4.5,3.5,3.5200000000000005,0,0.76
27,298,98,2,1.5,2.5,3.0,1,0.44
28,295,93,1,2.0,2.0,2.88,0,0.46
29,310,99,2,1.5,2.0,2.92,0,0.54
30,300,97,2,3.0,3.0,3.2399999999999998,1,0.65
31,327,103,3,4.0,4.0,3.3200000000000003,1,0.74
32,338,118,4,3.0,4.5,3.7600000000000002,1,0.91
33,340,114,5,4.0,4.0,3.84,1,0.9
34,331,112,5,4.0,5.0,3.9200000000000004,1,0.94
35,320,110,5,5.0,5.0,3.6799999999999997,1,0.88
36,299,106,2,4.0,4.0,3.3600000000000003,0,0.64
37,300,105,1,1.0,2.0,3.12,0,0.58
38,304,105,1,3.0,1.5,3.0,0,0.52
39,307,108,2,4.0,3.5,3.08,0,0.48
40,308,110,3,3.5,3.0,3.2,1,0.46
41,316,105,2,2.5,2.5,3.28,1,0.49
42,313,107,2,2.5,2.0,3.4,1,0.53
43,332,117,4,4.5,4.0,3.6399999999999997,0,0.87
44,326,113,5,4.5,4.0,3.7600000000000002,1,0.91
45,322,110,5,5.0,4.0,3.6399999999999997,1,0.88
46,329,114,5,4.0,5.0,3.72,1,0.86
47,339,119,5,4.5,4.0,3.88,0,0.89
48,321,110,3,3.5,5.0,3.54,1,0.82
49,327,111,4,3.0,4.0,3.3600000000000003,1,0.78
50,313,98,3,2.5,4.5,3.3200000000000003,1,0.76
51,312,100,2,1.5,3.5,3.16,1,0.56
52,334,116,4,4.0,3.0,3.2,1,0.78
53,324,112,4,4.0,2.5,3.2399999999999998,1,0.72
54,322,110,3,3.0,3.5,3.2,0,0.7
55,320,103,3,3.0,3.0,3.08,0,0.64
56,316,102,3,2.0,3.0,2.96,0,0.64
57,298,99,2,4.0,2.0,3.04,0,0.46
58,300,99,1,3.0,2.0,2.7199999999999998,1,0.36
59,311,104,2,2.0,2.0,3.3200000000000003,0,0.42
60,309,100,2,3.0,3.0,3.2399999999999998,0,0.48
61,307,101,3,4.0,3.0,3.28,0,0.47
62,304,105,2,3.0,3.0,3.28,1,0.54
63,315,107,2,4.0,3.0,3.4,1,0.56
64,325,111,3,3.0,3.5,3.4799999999999995,0,0.52
65,325,112,4,3.5,3.5,3.568,0,0.55
66,327,114,3,3.0,3.0,3.6079999999999997,0,0.61
67,316,107,2,3.5,3.5,3.4560000000000004,1,0.57
68,318,109,3,3.5,4.0,3.688,1,0.68
69,328,115,4,4.5,4.0,3.664,1,0.78
70,332,118,5,5.0,5.0,3.8560000000000003,1,0.94
71,336,112,5,5.0,5.0,3.904,1,0.96
72,321,111,5,5.0,5.0,3.78,1,0.93
73,314,108,4,4.5,4.0,3.6159999999999997,1,0.84
74,314,106,3,3.0,5.0,3.56,0,0.74
75,329,114,2,2.0,4.0,3.4240000000000004,1,0.72
76,327,112,3,3.0,3.0,3.4880000000000004,1,0.74
77,301,99,2,3.0,2.0,3.2880000000000003,0,0.64
78,296,95,2,3.0,2.0,3.016,1,0.44
79,294,93,1,1.5,2.0,2.944,0,0.46
80,312,105,3,2.0,3.0,3.2079999999999997,1,0.5
81,340,120,4,5.0,5.0,3.8,1,0.96
82,320,110,5,5.0,4.5,3.688,1,0.92
83,322,115,5,4.0,4.5,3.7439999999999998,1,0.92
84,340,115,5,4.5,4.5,3.78,1,0.94
85,319,103,4,4.5,3.5,3.464,0,0.76
86,315,106,3,4.5,3.5,3.368,0,0.72
87,317,107,2,3.5,3.0,3.312,0,0.66
88,314,108,3,4.5,3.5,3.2560000000000002,0,0.64
89,316,109,4,4.5,3.5,3.504,1,0.74
90,318,106,2,4.0,4.0,3.168,1,0.64
91,299,97,3,5.0,3.5,3.064,0,0.38
92,298,98,2,4.0,3.0,3.2119999999999997,0,0.34
93,301,97,2,3.0,3.0,3.152,1,0.44
94,303,99,3,2.0,2.5,3.064,0,0.36
95,304,100,4,1.5,2.5,3.136,0,0.42
96,306,100,2,3.0,3.0,3.2,0,0.48
97,331,120,3,4.0,4.0,3.5840000000000005,1,0.86
98,332,119,4,5.0,4.5,3.696,1,0.9
99,323,113,3,4.0,4.0,3.5520000000000005,1,0.79
100,322,107,3,3.5,3.5,3.3840000000000003,1,0.71
101,312,105,2,2.5,3.0,3.2479999999999998,0,0.64
102,314,106,2,4.0,3.5,3.3,0,0.62
103,317,104,2,4.5,4.0,3.3880000000000003,0,0.57
104,326,112,3,3.5,3.0,3.62,1,0.74
105,316,110,3,4.0,4.5,3.5119999999999996,1,0.69
106,329,111,4,4.5,4.5,3.6719999999999997,1,0.87
107,338,117,4,3.5,4.5,3.7840000000000003,1,0.91
108,331,116,5,5.0,5.0,3.7520000000000002,1,0.93
109,304,103,5,5.0,4.0,3.4560000000000004,0,0.68
110,305,108,5,3.0,3.0,3.3920000000000003,0,0.61
111,321,109,4,4.0,4.0,3.472,1,0.69
112,301,107,3,3.5,3.5,3.336,1,0.62
113,320,110,2,4.0,3.5,3.4240000000000004,0,0.72
114,311,105,3,3.5,3.0,3.38,1,0.59
115,310,106,4,4.5,4.5,3.6159999999999997,1,0.66
116,299,102,3,4.0,3.5,3.4479999999999995,0,0.56
117,290,104,4,2.0,2.5,2.984,0,0.45
118,296,99,2,3.0,3.5,2.912,0,0.47
119,327,104,5,3.0,3.5,3.536,1,0.71
120,335,117,5,5.0,5.0,3.8240000000000003,1,0.94
121,334,119,5,4.5,4.5,3.7920000000000003,1,0.94
122,310,106,4,1.5,2.5,3.344,0,0.57
123,308,108,3,3.5,3.5,3.2880000000000003,0,0.61
124,301,106,4,2.5,3.0,3.3880000000000003,0,0.57
125,300,100,3,2.0,3.0,3.464,1,0.64
126,323,113,3,4.0,3.0,3.728,1,0.85
127,319,112,3,2.5,2.0,3.4840000000000004,1,0.78
128,326,112,3,3.5,3.0,3.6399999999999997,1,0.84
129,333,118,5,5.0,5.0,3.7399999999999998,1,0.92
130,339,114,5,4.0,4.5,3.904,1,0.96
131,303,105,5,5.0,4.5,3.46,0,0.77
132,309,105,5,3.5,3.5,3.4240000000000004,0,0.71
133,323,112,5,4.0,4.5,3.5119999999999996,0,0.79
134,333,113,5,4.0,4.0,3.7119999999999997,1,0.89
135,314,109,4,3.5,4.0,3.508,1,0.82
136,312,103,3,5.0,4.0,3.38,0,0.76
137,316,100,2,1.5,3.0,3.2640000000000002,1,0.71
138,326,116,2,4.5,3.0,3.632,1,0.8
139,318,109,1,3.5,3.5,3.6479999999999997,0,0.78
140,329,110,2,4.0,3.0,3.66,1,0.84
141,332,118,2,4.5,3.5,3.7439999999999998,1,0.9
142,331,115,5,4.0,3.5,3.776,1,0.92
143,340,120,4,4.5,4.0,3.968,1,0.97
144,325,112,2,3.0,3.5,3.5840000000000005,1,0.8
145,320,113,2,2.0,2.5,3.4560000000000004,1,0.81
146,315,105,3,2.0,2.5,3.3920000000000003,0,0.75
147,326,114,3,3.0,3.0,3.6439999999999997,1,0.83
148,339,116,4,4.0,3.5,3.9200000000000004,1,0.96
149,311,106,2,3.5,3.0,3.304,1,0.79
150,334,114,4,4.0,4.0,3.772,1,0.93
151,332,116,5,5.0,5.0,3.7119999999999997,1,0.94
152,321,112,5,5.0,5.0,3.624,1,0.86
153,324,105,3,3.0,4.0,3.5,0,0.79
154,326,108,3,3.0,3.5,3.556,0,0.8
155,312,109,3,3.0,3.0,3.476,0,0.77
156,315,105,3,2.0,2.5,3.336,0,0.7
157,309,104,2,2.0,2.5,3.304,0,0.65
158,306,106,2,2.0,2.5,3.2560000000000002,0,0.61
159,297,100,1,1.5,2.0,3.16,0,0.52
160,315,103,1,1.5,2.0,3.144,0,0.57
161,298,99,1,1.5,3.0,2.984,0,0.53
162,318,109,3,3.0,3.0,3.4,0,0.67
163,317,105,3,3.5,3.0,3.4240000000000004,0,0.68
164,329,111,4,4.5,4.0,3.604,1,0.81
165,322,110,5,4.5,4.0,3.588,0,0.78
166,302,102,3,3.5,5.0,3.332,0,0.65
167,313,102,3,2.0,3.0,3.308,0,0.64
168,293,97,2,2.0,4.0,3.12,1,0.64
169,311,99,2,2.5,3.0,3.192,0,0.65
170,312,101,2,2.5,3.5,3.2159999999999997,1,0.68
171,334,117,5,4.0,4.5,3.628,1,0.89
172,322,110,4,4.0,5.0,3.652,1,0.86
173,323,113,4,4.0,4.5,3.692,1,0.89
174,321,111,4,4.0,4.0,3.588,1,0.87
175,320,111,4,4.5,3.5,3.5479999999999996,1,0.85
176,329,119,4,4.5,4.5,3.664,1,0.9
177,319,110,3,3.5,3.5,3.6159999999999997,0,0.82
178,309,108,3,2.5,3.0,3.2479999999999998,0,0.72
179,307,102,3,3.0,3.0,3.308,0,0.73
180,300,104,3,3.5,3.0,3.2640000000000002,0,0.71
181,305,107,2,2.5,2.5,3.368,0,0.71
182,299,100,2,3.0,3.5,3.152,0,0.68
183,314,110,3,4.0,4.0,3.5200000000000005,0,0.75
184,316,106,2,2.5,4.0,3.3280000000000003,0,0.72
185,327,113,4,4.5,4.5,3.6439999999999997,1,0.89
186,317,107,3,3.5,3.0,3.472,1,0.84
187,335,118,5,4.5,3.5,3.776,1,0.93
188,331,115,5,4.5,3.5,3.7439999999999998,1,0.93
189,324,112,5,5.0,5.0,3.632,1,0.88
190,324,111,5,4.5,4.0,3.664,1,0.9
191,323,110,5,4.0,5.0,3.592,1,0.87
192,322,114,5,4.5,4.0,3.5759999999999996,1,0.86
193,336,118,5,4.5,5.0,3.812,1,0.94
194,316,109,3,3.5,3.0,3.504,0,0.77
195,307,107,2,3.0,3.5,3.408,1,0.78
196,306,105,2,3.0,2.5,3.304,0,0.73
197,310,106,2,3.5,2.5,3.332,0,0.73
198,311,104,3,4.5,4.5,3.372,0,0.7
199,313,107,3,4.0,4.5,3.476,0,0.72
200,317,103,3,2.5,3.0,3.4159999999999995,1,0.73
201,315,110,2,3.5,3.0,3.3840000000000003,1,0.72
202,340,120,5,4.5,4.5,3.964,1,0.97
203,334,120,5,4.0,5.0,3.9479999999999995,1,0.97
204,298,105,3,3.5,4.0,3.4159999999999995,0,0.69
205,295,99,2,2.5,3.0,3.06,0,0.57
206,315,99,2,3.5,3.0,3.1559999999999997,0,0.63
207,310,102,3,3.5,4.0,3.2079999999999997,1,0.66
208,305,106,2,3.0,3.0,3.2640000000000002,0,0.64
209,301,104,3,3.5,4.0,3.2479999999999998,1,0.68
210,325,108,4,4.5,4.0,3.624,1,0.79
211,328,110,4,5.0,4.0,3.656,1,0.82
212,338,120,4,5.0,5.0,3.864,1,0.95
213,333,119,5,5.0,4.5,3.912,1,0.96
214,331,117,4,4.5,5.0,3.768,1,0.94
215,330,116,5,5.0,4.5,3.7439999999999998,1,0.93
216,322,112,4,4.5,4.5,3.7039999999999997,1,0.91
217,321,109,4,4.0,4.0,3.652,1,0.85
218,324,110,4,3.0,3.5,3.588,1,0.84
219,312,104,3,3.5,3.5,3.368,0,0.74
220,313,103,3,4.0,4.0,3.5,0,0.76
221,316,110,3,3.5,4.0,3.4240000000000004,0,0.75
222,324,113,4,4.5,4.0,3.5159999999999996,0,0.76
223,308,109,2,3.0,4.0,3.38,0,0.71
224,305,105,2,3.0,2.0,3.2920000000000003,0,0.67
225,296,99,2,2.5,2.5,3.2119999999999997,0,0.61
226,306,110,2,3.5,4.0,3.38,0,0.63
227,312,110,2,3.5,3.0,3.412,0,0.64
228,318,112,3,4.0,3.5,3.468,0,0.71
229,324,111,4,3.0,3.0,3.604,1,0.82
230,313,104,3,4.0,4.5,3.46,0,0.73
231,319,106,3,3.5,2.5,3.332,1,0.74
232,312,107,2,2.5,3.5,3.308,0,0.69
233,304,100,2,2.5,3.5,3.228,0,0.64
234,330,113,5,5.0,4.0,3.724,1,0.91
235,326,111,5,4.5,4.0,3.692,1,0.88
236,325,112,4,4.0,4.5,3.668,1,0.85
237,329,114,5,4.5,5.0,3.6759999999999997,1,0.86
238,310,104,3,2.0,3.5,3.348,0,0.7
239,299,100,1,1.5,2.0,3.1559999999999997,0,0.59
240,296,101,1,2.5,3.0,3.072,0,0.6
241,317,103,2,2.5,2.0,3.2600000000000002,0,0.65
242,324,115,3,3.5,3.0,3.504,1,0.7
243,325,114,3,3.5,3.0,3.6159999999999997,1,0.76
244,314,107,2,2.5,4.0,3.4240000000000004,0,0.63
245,328,110,4,4.0,2.5,3.6079999999999997,1,0.81
246,316,105,3,3.0,3.5,3.492,0,0.72
247,311,104,2,2.5,3.5,3.3920000000000003,0,0.71
