,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
248,324,110,3,3.5,4.0,3.5479999999999996,1,0.8
249,321,111,3,3.5,4.0,3.532,1,0.77
250,320,104,3,3.0,2.5,3.428,1,0.74
251,316,99,2,2.5,3.0,3.6,0,0.7
252,318,100,2,2.5,3.5,3.4159999999999995,1,0.71
253,335,115,4,4.5,4.5,3.872,1,0.93
254,321,114,4,4.0,5.0,3.6479999999999997,0,0.85
255,307,110,4,4.0,4.5,3.348,0,0.79
256,309,99,3,4.0,4.0,3.4240000000000004,0,0.76
257,324,100,3,4.0,5.0,3.4560000000000004,1,0.78
258,326,102,4,5.0,5.0,3.504,1,0.77
259,331,119,4,5.0,4.5,3.7359999999999998,1,0.9
260,327,108,5,5.0,3.5,3.652,1,0.87
261,312,104,3,3.5,4.0,3.2359999999999998,0,0.71
262,308,103,2,2.5,4.0,3.344,1,0.7
263,324,111,3,2.5,1.5,3.5159999999999996,1,0.7
264,325,110,2,3.0,2.5,3.504,1,0.75
265,313,102,3,2.5,2.5,3.472,0,0.71
266,312,105,2,2.0,2.5,3.38,0,0.72
267,314,107,3,3.0,3.5,3.268,1,0.73
268,327,113,4,4.5,5.0,3.656,0,0.83
269,308,108,4,4.5,5.0,3.336,0,0.77
270,306,105,2,2.5,3.0,3.2880000000000003,1,0.72
271,299,96,2,1.5,2.0,3.144,0,0.54
272,294,95,1,1.5,1.5,3.056,0,0.49
273,312,99,1,1.0,1.5,3.2039999999999997,1,0.52
274,315,100,1,2.0,2.5,3.18,0,0.58
275,322,110,3,3.5,3.0,3.5840000000000005,1,0.78
276,329,113,5,5.0,4.5,3.78,1,0.89
277,320,101,2,2.5,3.0,3.4479999999999995,0,0.7
278,308,103,2,3.0,3.5,3.396,0,0.66
279,304,102,2,3.0,4.0,3.492,0,0.67
280,311,102,3,4.5,4.0,3.4560000000000004,1,0.68
281,317,110,3,4.0,4.5,3.6439999999999997,1,0.8
282,312,106,3,4.0,3.5,3.5159999999999996,1,0.81
283,321,111,3,2.5,3.0,3.56,1,0.8
284,340,112,4,5.0,4.5,3.864,1,0.94
285,331,116,5,4.0,4.0,3.7039999999999997,1,0.93
286,336,118,5,4.5,4.0,3.6759999999999997,1,0.92
287,324,114,5,5.0,4.5,3.632,1,0.89
288,314,104,4,5.0,5.0,3.6079999999999997,0,0.82
289,313,109,3,4.0,3.5,3.6,0,0.79
290,307,105,2,2.5,3.0,3.06,0,0.58
291,300,102,2,1.5,2.0,3.148,0,0.56
292,302,99,2,1.0,2.0,3.1879999999999997,0,0.56
293,312,98,1,3.5,3.0,3.272,1,0.64
294,316,101,2,2.5,2.0,3.3280000000000003,1,0.61
295,317,100,2,3.0,2.5,3.428,0,0.68
296,310,107,3,3.5,3.5,3.468,0,0.76
297,320,120,3,4.0,4.5,3.6439999999999997,0,0.86
298,330,114,3,4.5,4.5,3.696,1,0.9
299,305,112,3,3.0,3.5,3.46,0,0.71
300,309,106,2,2.5,2.5,3.2,0,0.62
301,319,108,2,2.5,3.0,3.504,0,0.66
302,322,105,2,3.0,3.0,3.38,1,0.65
303,323,107,3,3.5,3.5,3.4200000000000004,1,0.73
304,313,106,2,2.5,2.0,3.372,0,0.62
305,321,109,3,3.5,3.5,3.5200000000000005,1,0.74
306,323,110,3,4.0,3.5,3.6399999999999997,1,0.79
307,325,112,4,4.0,4.0,3.6,1,0.8
308,312,108,3,3.5,3.0,3.412,0,0.69
309,308,110,4,3.5,3.0,3.44,0,0.7
310,320,104,3,3.0,3.5,3.496,1,0.76
311,328,108,4,4.5,4.0,3.6719999999999997,1,0.84
312,311,107,4,4.5,4.5,3.6,1,0.78
313,301,100,3,3.5,3.0,3.2159999999999997,0,0.67
314,305,105,2,3.0,4.0,3.2520000000000002,0,0.66
315,308,104,2,2.5,3.0,3.228,0,0.65
316,298,101,2,1.5,2.0,3.144,0,0.54
317,300,99,1,1.0,2.5,3.2039999999999997,0,0.58
318,324,111,3,2.5,2.0,3.5200000000000005,1,0.79
319,327,113,4,3.5,3.0,3.476,1,0.8
320,317,106,3,4.0,3.5,3.4,1,0.75
321,323,104,3,4.0,4.0,3.376,1,0.73
322,314,107,2,2.5,4.0,3.308,0,0.72
323,305,102,2,2.0,2.5,3.272,0,0.62
324,315,104,3,3.0,2.5,3.332,0,0.67
325,326,116,3,3.5,4.0,3.656,1,0.81
326,299,100,3,2.0,2.0,3.2079999999999997,0,0.63
327,295,101,2,2.5,2.0,3.144,0,0.69
328,324,112,4,4.0,3.5,3.508,1,0.8
329,297,96,2,2.5,1.5,3.1559999999999997,0,0.43
330,327,113,3,3.5,3.0,3.464,1,0.8
331,311,105,2,3.0,2.0,3.2479999999999998,1,0.73
332,308,106,3,3.5,2.5,3.2840000000000003,1,0.75
333,319,108,3,3.0,3.5,3.4159999999999995,1,0.71
334,312,107,4,4.5,4.0,3.46,1,0.73
335,325,111,4,4.0,4.5,3.6439999999999997,1,0.83
336,319,110,3,3.0,2.5,3.5159999999999996,0,0.72
337,332,118,5,5.0,5.0,3.7880000000000003,1,0.94
338,323,108,5,4.0,4.0,3.496,1,0.81
339,324,107,5,3.5,4.0,3.464,1,0.81
340,312,107,3,3.0,3.0,3.3840000000000003,1,0.75
341,326,110,3,3.5,3.5,3.504,1,0.79
342,308,106,3,3.0,3.0,3.2960000000000003,0,0.58
343,305,103,2,2.5,3.5,3.2520000000000002,0,0.59
344,295,96,2,1.5,2.0,2.936,0,0.47
345,316,98,1,1.5,2.0,2.972,0,0.49
346,304,97,2,1.5,2.0,3.056,0,0.47
347,299,94,1,1.0,1.0,2.936,0,0.42
348,302,99,1,2.0,2.0,2.9,0,0.57
349,313,101,3,2.5,3.0,3.2159999999999997,0,0.62
350,318,107,3,3.0,3.5,3.308,1,0.74
351,325,110,4,3.5,4.0,3.468,1,0.73
352,303,100,2,3.0,3.5,3.224,1,0.64
353,300,102,3,3.5,2.5,3.268,0,0.63
354,297,98,2,2.5,3.0,3.068,0,0.59
355,317,106,2,2.0,3.5,3.2479999999999998,0,0.73
356,327,109,3,3.5,4.0,3.508,1,0.79
357,301,104,2,3.5,3.5,3.1559999999999997,1,0.68
358,314,105,2,2.5,2.0,3.056,0,0.7
359,321,107,2,2.0,1.5,3.376,0,0.81
360,322,110,3,4.0,5.0,3.4560000000000004,1,0.85
361,334,116,4,4.0,3.5,3.816,1,0.93
362,338,115,5,4.5,5.0,3.692,1,0.91
363,306,103,2,2.5,3.0,3.344,0,0.69
364,313,102,3,3.5,4.0,3.56,1,0.77
365,330,114,4,4.5,3.0,3.668,1,0.86
366,320,104,3,3.5,4.5,3.336,1,0.74
367,311,98,1,1.0,2.5,2.984,0,0.57
368,298,92,1,2.0,2.0,3.152,0,0.51
369,301,98,1,2.0,3.0,3.2119999999999997,1,0.67
370,310,103,2,2.5,2.5,3.2960000000000003,0,0.72
371,324,110,3,3.5,3.0,3.688,1,0.89
372,336,119,4,4.5,4.0,3.848,1,0.95
373,321,109,3,3.0,3.0,3.4159999999999995,1,0.79
374,315,105,2,2.0,2.5,3.06,0,0.39
375,304,101,2,2.0,2.5,3.064,0,0.38
376,297,96,2,2.5,2.0,2.972,0,0.34
377,290,100,1,1.5,2.0,3.024,0,0.47
378,303,98,1,2.0,2.5,3.06,0,0.56
379,311,99,1,2.5,3.0,3.372,1,0.71
380,322,104,3,3.5,4.0,3.536,1,0.78
381,319,105,3,3.0,3.5,3.468,1,0.73
382,324,110,4,4.5,4.0,3.66,1,0.82
383,300,100,3,3.0,3.5,3.304,0,0.62
384,340,113,4,5.0,5.0,3.896,1,0.96
385,335,117,5,5.0,5.0,3.928,1,0.96
386,302,101,2,2.5,3.5,3.184,0,0.46
387,307,105,2,2.0,3.5,3.2399999999999998,0,0.53
388,296,97,2,1.5,2.0,3.12,0,0.49
389,320,108,3,3.5,4.0,3.376,1,0.76
390,314,102,2,2.0,2.5,3.2960000000000003,0,0.64
391,318,106,3,2.0,3.0,3.46,0,0.71
392,326,112,4,4.0,3.5,3.6479999999999997,1,0.84
393,317,104,2,3.0,3.0,3.504,0,0.77
394,329,111,4,4.5,4.0,3.692,1,0.89
395,324,110,3,3.5,3.5,3.6159999999999997,1,0.82
396,325,107,3,3.0,3.5,3.6439999999999997,1,0.84
397,330,116,4,5.0,4.5,3.78,1,0.91
398,312,103,3,3.5,4.0,3.5119999999999996,0,0.67
399,333,117,4,5.0,4.0,3.864,1,0.95
400,304,100,2,3.5,3.0,3.2880000000000003,0,0.63
401,315,105,2,3.0,3.0,3.336,0,0.66
402,324,109,3,3.5,3.0,3.5759999999999996,1,0.78
403,330,116,4,4.0,3.5,3.692,1,0.91
404,311,101,3,2.0,2.5,3.056,1,0.62
405,302,99,3,2.5,3.0,2.98,0,0.52
406,322,103,4,3.0,2.5,3.2079999999999997,1,0.61
407,298,100,3,2.5,4.0,3.18,1,0.58
408,297,101,3,2.0,4.0,3.068,1,0.57
409,300,98,1,2.0,2.5,3.2079999999999997,0,0.61
410,301,96,1,3.0,4.0,3.024,0,0.54
411,313,94,2,2.5,1.5,3.2520000000000002,0,0.56
412,314,102,4,2.5,2.0,3.152,1,0.59
413,317,101,3,3.0,2.0,3.176,1,0.49
414,321,110,4,3.5,4.0,3.34,1,0.72
415,327,106,4,4.0,4.5,3.5,1,0.76
416,315,104,3,4.0,2.5,3.2399999999999998,0,0.65
417,316,103,3,3.5,2.0,3.072,0,0.52
418,309,111,2,2.5,4.0,3.2119999999999997,0,0.6
419,308,102,2,2.0,3.5,3.192,1,0.58
420,299,100,3,2.0,3.0,2.968,0,0.42
421,321,112,3,3.0,4.5,3.5799999999999996,1,0.77
422,322,112,4,3.5,2.5,3.6079999999999997,1,0.73
423,334,119,5,4.5,5.0,3.816,1,0.94
424,325,114,5,4.0,5.0,3.7840000000000003,1,0.91
425,323,111,5,4.0,5.0,3.944,1,0.92
426,312,106,3,3.0,5.0,3.428,0,0.71
427,310,101,3,3.5,5.0,3.46,1,0.71
428,316,103,2,2.0,4.5,3.496,0,0.69
429,340,115,5,5.0,4.5,3.624,1,0.95
430,311,104,3,4.0,3.5,3.2520000000000002,1,0.74
431,320,112,2,3.5,3.5,3.5119999999999996,1,0.73
432,324,112,4,4.5,4.0,3.688,1,0.86
433,316,111,4,4.0,5.0,3.4159999999999995,0,0.71
434,306,103,3,3.5,3.0,3.2840000000000003,0,0.64
435,309,105,2,2.5,4.0,3.072,0,0.55
436,310,110,1,1.5,4.0,2.8920000000000003,1,0.58
437,317,106,1,1.5,3.5,3.06,1,0.61
438,318,110,1,2.5,3.5,3.4159999999999995,1,0.67
439,312,105,2,1.5,3.0,3.3840000000000003,0,0.66
440,305,104,2,2.5,1.5,3.116,0,0.53
441,332,112,1,1.5,3.0,3.464,1,0.79
442,331,116,4,4.5,4.5,3.776,1,0.92
443,321,114,5,4.5,4.5,3.664,1,0.87
444,324,113,5,4.0,5.0,3.7,1,0.92
445,328,116,5,4.5,5.0,3.632,1,0.91
446,327,118,4,5.0,5.0,3.868,1,0.93
447,320,108,3,3.5,5.0,3.588,1,0.84
448,312,109,2,2.5,4.0,3.6079999999999997,0,0.8
449,315,101,3,3.5,4.5,3.652,0,0.79
450,320,112,4,3.0,4.5,3.5439999999999996,1,0.82
451,324,113,4,4.5,4.5,3.7,1,0.89
452,328,116,4,5.0,3.5,3.84,1,0.93
453,319,103,3,2.5,4.0,3.504,1,0.73
454,310,105,2,3.0,3.5,3.2039999999999997,0,0.71
455,305,102,2,1.5,2.5,3.056,0,0.59
456,299,100,2,2.0,2.0,3.152,0,0.51
457,295,99,1,2.0,1.5,3.028,0,0.37
458,312,100,1,3.0,3.0,3.412,1,0.69
459,329,113,4,4.0,3.5,3.7439999999999998,1,0.89
460,319,105,4,4.0,4.5,3.464,1,0.77
461,301,102,3,2.5,2.0,3.2520000000000002,1,0.68
462,307,105,4,3.0,3.0,3.176,0,0.62
463,304,107,3,3.5,3.0,3.144,0,0.57
464,298,97,2,2.0,3.0,2.884,0,0.45
465,305,96,4,3.0,4.5,3.304,0,0.54
466,314,99,4,3.5,4.5,3.492,1,0.71
467,318,101,5,3.5,5.0,3.5119999999999996,1,0.78
468,323,110,4,4.0,5.0,3.5520000000000005,1,0.81
469,326,114,4,4.0,3.5,3.664,1,0.86
470,320,110,5,4.0,4.0,3.7079999999999997,1,0.87
471,311,103,3,2.0,4.0,3.2359999999999998,0,0.64
472,327,116,4,4.0,4.5,3.7920000000000003,1,0.9
473,316,102,2,4.0,3.5,3.2600000000000002,0,0.67
474,308,105,4,3.0,2.5,3.18,1,0.67
475,300,101,3,3.5,2.5,3.152,0,0.59
476,304,104,3,2.5,2.0,3.2479999999999998,0,0.62
477,309,105,4,3.5,2.0,3.272,0,0.65
478,318,103,3,4.0,4.5,3.396,1,0.71
479,325,110,4,4.5,4.0,3.5840000000000005,1,0.79
480,321,102,3,3.5,4.0,3.604,1,0.8
481,323,107,4,3.0,2.5,3.3920000000000003,1,0.78
482,328,113,4,4.0,2.5,3.508,1,0.83
483,304,103,5,5.0,3.0,3.168,0,0.71
484,317,106,3,3.5,3.0,3.1559999999999997,1,0.73
485,311,101,2,2.5,3.5,3.336,1,0.7
486,319,102,3,2.5,2.5,3.348,0,0.68
487,327,115,4,3.5,4.0,3.656,0,0.79
488,322,112,3,3.0,4.0,3.4479999999999995,1,0.76
489,302,110,3,4.0,4.5,3.4,0,0.65
490,307,105,2,2.5,4.5,3.2479999999999998,1,0.67
491,297,99,4,3.0,3.5,3.1239999999999997,0,0.54
492,298,101,4,2.5,4.5,3.076,1,0.53
493,300,95,2,3.0,1.5,3.2880000000000003,1,0.62
494,301,99,3,2.5,2.0,3.38,1,0.68
495,332,108,5,4.5,4.0,3.6079999999999997,1,0.87
496,337,117,5,5.0,5.0,3.9479999999999995,1,0.96
497,330,120,5,4.5,5.0,3.8240000000000003,1,0.93
498,312,103,4,4.0,5.0,3.372,0,0.73
499,327,113,4,4.5,4.5,3.6159999999999997,0,0.84
